key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time
cpu_number,0,6.4,1.4,2.2,93.6,0.0,0.0,0.0,2.7,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,1,1.4,0.1,0.7,98.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,2,3.4,0.2,1.6,96.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,3,0.5,0.0,0.3,99.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,4,5.6,1.1,4.4,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,5,0.5,0.0,0.5,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,6,4.1,2.0,2.1,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,7,3.7,1.8,1.4,96.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1:1667130022.3307035
cpu_number,0,5.6,1.5,1.8,94.4,0.0,0.0,0.0,2.3,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,1,1.5,0.1,0.7,98.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,2,1.8,0.2,1.0,98.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,3,1.3,0.2,1.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,4,7.5,0.6,6.7,92.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,5,1.6,0.2,1.3,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,6,2.4,0.6,1.7,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,7,6.5,4.5,1.4,93.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2:1667130042.6388564
cpu_number,0,13.0,2.7,5.8,87.0,0.0,0.1,0.0,4.3,0.0,0.0,0.0,3:1667130062.8856754
cpu_number,1,10.5,2.2,5.3,89.5,0.0,0.1,0.0,2.9,0.0,0.0,0.0,3:1667130062.8856754
cpu_number,2,18.2,7.9,9.1,81.8,0.0,0.1,0.0,1.1,0.0,0.0,0.0,3:1667130062.8856754
cpu_number,3,7.4,1.8,4.9,92.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3:1667130062.8856754
cpu_number,4,13.8,5.0,7.9,86.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3:1667130062.8856754
cpu_number,5,1.8,1.1,0.7,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130062.8856754
cpu_number,6,7.7,3.2,4.2,92.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3:1667130062.8856754
cpu_number,7,19.2,15.7,3.4,80.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3:1667130062.8856754
